dataset_source,model_name,job_family,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
v6_job_roles,aubmindlab/aragpt2-base,mechanical_engineering,24,4,20,0,16.666667,83.333333,0.0,-0.4639478921890259,-0.4004783630371094,0.4649590146245414
v6_job_roles,aubmindlab/aragpt2-base,medicine,24,11,13,0,45.833333,54.166667,0.0,-0.18560723463694254,-0.05046153068542475,0.5249778117706455
v6_job_roles,aubmindlab/aragpt2-base,nursing,24,6,18,0,25.0,75.0,0.0,-0.3855636715888977,-0.3014860153198242,0.44953338127277165
v6_job_roles,aubmindlab/aragpt2-base,nutrition,24,0,24,0,0.0,100.0,0.0,-0.655577818552653,-0.7535505294799805,0.3736129818976992
v6_job_roles,aubmindlab/aragpt2-base,office_management,24,10,14,0,41.666667,58.333333,0.0,-0.4463075598080953,-0.10255479812622065,0.8818273729141097
v6_job_roles,aubmindlab/aragpt2-base,onboarding,24,5,19,0,20.833333,79.166667,0.0,-0.32664424180984497,-0.2590124607086181,0.4069121720099696
v6_job_roles,aubmindlab/aragpt2-base,operations,24,11,13,0,45.833333,54.166667,0.0,-0.5432511766751608,-0.025735855102539,1.1731687129077084
v6_job_roles,aubmindlab/aragpt2-base,organizational_development,24,14,10,0,58.333333,41.666667,0.0,0.042063514391581215,0.09745931625366205,0.33390980247494273
v6_job_roles,aubmindlab/aragpt2-base,payroll,24,7,17,0,29.166667,70.833333,0.0,-0.3838537534077962,-0.3160970211029053,0.49051531598890263
v6_job_roles,aubmindlab/aragpt2-base,payroll_hr,24,6,18,0,25.0,75.0,0.0,-0.8374044100443522,-0.18252325057983393,1.1942580724350056
v6_job_roles,aubmindlab/aragpt2-base,pharmacy,24,6,18,0,25.0,75.0,0.0,-0.5607474644978842,-0.5543215274810791,0.6932050365449003
v6_job_roles,aubmindlab/aragpt2-base,photography,24,10,14,0,41.666667,58.333333,0.0,-0.32517532507578534,-0.14485263824462885,0.8451989753356575
v6_job_roles,aubmindlab/aragpt2-base,policy,24,7,17,0,29.166667,70.833333,0.0,-0.36139806111653644,-0.2816140651702881,0.6120854254296744
v6_job_roles,aubmindlab/aragpt2-base,process,24,2,22,0,8.333333,91.666667,0.0,-0.37953317165374756,-0.4331123828887939,0.40517477006540875
v6_job_roles,aubmindlab/aragpt2-base,procurement,24,3,21,0,12.5,87.5,0.0,-0.4844956000645955,-0.43243503570556635,0.3862863471557701
v6_job_roles,aubmindlab/aragpt2-base,product,24,3,21,0,12.5,87.5,0.0,-0.4561654329299927,-0.46429204940795893,0.43874359775509914
v6_job_roles,aubmindlab/aragpt2-base,production,48,14,34,0,29.166667,70.833333,0.0,-0.26772908369700116,-0.24652504920959473,0.5364528017202593
v6_job_roles,aubmindlab/aragpt2-base,project_management,24,10,14,0,41.666667,58.333333,0.0,-0.3081030448277791,-0.070681095123291,0.8474059399770103
